BEER NAME,BREWERY,Flavor,ABV%,CLASS ,,
10w-40,HiWire,Imperial Stout,8,Very High,,low % 3.5 - 4.5
After The Last Death,Orpheus,Sour Ale,6.5,High,,med % 4.6 - 6.0
Ain't That A Peach,Red Hare,Fruited Berliner Weisse,3.9,Low,,high % 6.0 - 7.9
American Blackberry Ale,Wild Leap,Ale,6.5,High,,very high % 8.0 +
Apricot Funk,Prairie,Sour Wild Ale,6.3,High,,
Athena,Creature Comforts,Berliner Weisse,4.5,Low,,
Athena Paradiso,Creature Comforts,Fruited Berliner Weisse,4.5,Low,,
Athena Paradiso Guava,Creature Comforts,Fruited Berliner Weisse,4.5,Low,,
Banana Bread Beer,Well's,Ale,5.2,Med,,
Beer for Breakfast Stout,Dogfish Head,Stout,7.4,High,,
Bel Air Sour,Brooklyn,Sour Ale,5.8,Med,,
Belga Rose,New Realm,Blonde Ale,5,Med,,
Big Shanty Graham Cracker Stout,Burnt Hickory,Stout,9,Very High,,
Blackberry Daze IPA,Anchor,IPA,6.5,High,,
Bleeding Heart,Second Self,Ale,6.9,High,,
Bourbon Barrel Stout,Kentucky,Stout,8,Very High,,
Briney Melon Gose,Anderson Valley,Gose,4.2,Low,,
Cherry Apricot Vanilla,Trimtab,Sour Berliner Weisse,5,Med,,
Cherry Limeade,Cherry Street,Sour Berliner Weisse,4,Low,,
Cherry Pie Ale,Wild Leap,Ale,6.5,High,,
Cherry Stout,Bell's,Stout,7,High,,
Chocolate Orange Stout,Breckenridge,Stout,6,High,,
Choklat,Southern Tier,Imperial Stout,10,Very High,,
Coco Pina Gose,Coastal Empire Beer,Gose,4,Low,,
Coconut Pecan Stout,D9,Stout,8,Very High,,
Coconut Porter,Cherry Street,Porter,6,High,,
Cotton Tail Creamsicale,Red Hare,Ale,5.5,Med,,
Cucumber Sour,10 Barrel,Sour Ale,5,Med,,
Declaration,Reformation,Imperial Stout,9.7,Very High,,
Dirty Beaches Tropical Wheat,Scofflaw,Wheat Ale,6.3,High,,
Discography Sour Collection,Southbound,Sour Ale,5.8,Med,,
Dreams of Oblivion,Trimtab,IPA,7,High,,
Emergency Drinking Beer Watermelon,Wild Heaven,Ale,4.3,Low,,
Even More Pecan Pie Jesus,Evil Twin,Stout,12,Very High,,
Ferryman,Orpheus,Imperial Stout,10.5,Very High,,
Fest Beer,Wild Heaven,Marzen,5.5,Med,,
Fistful of Cake,Monday Night,Imperial Stout,9,Very High,,
Fruited Gose,Red Brick,Gose,4.7,Med,,
Gose,Westbrook,Gose,4,Low,,
Half Gallon Milk Stout,Gate City,Stout,5.2,Med,,
Hell or High Watermelon,21st Amendment,American Wheat,4.9,Med,,
Honorary Girl Scout Sam O'Nut Cookies,Pontoon,Milk Porter,6.3,High,,
Hop Cocoa,Wicked Weed,Porter,6.5,High,,
Hop Dang Diggity Pineapple Habenero,Jekyll,IPA,6.7,High,,
Hoptropolis IPA,New Realm,IPA,6.5,High,,
Imperial Grape Gose,Southern Tier,Gose,8.3,Very High,,
Imperial Oaxaca Choca,New Realm,Imperial Stout,10.7,Very High,,
Imperial Peach Gose,Southern Tier,Gose,8.3,Very High,,
Imperial Stout,Samuel Smith's,Imperial Stout,7,High,,
Keylime Pie Gose,Westbrook,Gose,4,Low,,
"Kimmie, Yink, Holy Gose",Anderson Valley,Gose,4.2,Low,,
King Coconut,Catawba,Porter,5.5,Med,,
Koko Buni,Creature Comforts,Milk Porter,6.5,High,,
Larry's Latest Sour Ale,Bell's,Sour Ale,5,Med,,
Limey Gose,Victory,Gose,4.7,Med,,
Liquid Bliss,Terrapin,Porter,6,High,,
Marionberry Sour,Rogue,Sour Ale,6.5,High,,
Marzen,Duck Rabbit,Marzen,4.6,Med,,
Maverick and Gose,Second Self,Gose,4.4,Low,,
Mavis,Wild Heaven,Sour Ale,5.5,Med,,
Milk Stout,Duck Rabbit,Milk Stout,5.7,Med,,
Milk Stout,Left Hand,Milk Stout,6,High,,
Mocha Porter,Rogue,Porter,5.6,Med,,
Mole Porter,Second Self,Porter,6.5,High,,
Moohoo,Terrapin,Milk Stout,6,High,,
Narwhal,Sierra Nevada,Imperial Stout,10.2,Very High,,
Neapolitan Milkshake Stout,Scofflaw,Milk Stout,5.5,Med,,
Organic Chocolate Stout,Samuel Smith's,Stout,5,Med,,
Peanut Butter Chocolate Porter,Catawba,Stout,5.4,Med,,
Peanut Butter Porter,Back Forty (Gadsden),Porter,10,Very High,,
Pineapple Beach,Funky Buddha,Blonde Ale,5,Med,,
Pink Guava Funk,Prairie,Sour Wild Ale,6.3,High,,
Porter,Duck Rabbit,Porter,5.4,Med,,
Porter,Founders,Porter,6.5,High,,
Prairie Flare,Prairie,Leipzig Gose,5.4,Med,,
Raspberry Sour,10 Barrel,Sour Ale,6.5,High,,
Red and Black,Southern Brewing,Sour Berliner Weisse,4.5,Low,,
Rollin' Deep Cinnamon Roll,Wild Leap,Stout,8.5,Very High,,
Rowdy and Proud,Three Taverns,IPA,6,High,,
Salted Caramel Chocolate Porter,Genesee,Porter,6.5,High,,
Samoa This,Southern Tier,Imperial Stout,10,Very High,,
Schwarzchild Porter,Southern Sky,Porter,6,High,,
SeaQuench Ale,Dogfish Head,Sour Ale,4.9,Med,,
Serpent Bite,Orpheus,Sour Saison,6,High,,
Sticky Treats,Funky Buddha,Blonde Ale,5.1,Med,,
T-Time,Terrapin,Berliner Weisse,4,Low,,
Thai Wheat,Second Self,American Wheat,5.1,Med,,
To Gose,Abita,Gose,4.1,Low,,
Two claw IPA,Westbrook,IPA,7,High,,
Vanilla Porter,Breckenridge,Porter,5.4,Med,,
Wake N Bake Coffee Imperial Stout,Terrapin,Imperial Stout,9.4,Very High,,
Watermelon Gose,Terrapin,Gose,4.3,Low,,
Wheels Gose Round,Left Hand,Leipzig Gose,4.4,Low,,
Wild Sour Cranberry Criek,Destihl,Sour Ale,5,Med,,
Winter Cheers,Victory,Wheat Ale,6.7,High,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
http://www.craftbeer.com/wp-content/uploads/2014/12/craftbeerdotcom-beer-styles.pdf,,,,,,